team,posgrp,metric,n,value,league,var_play,k_eb,between_var
JAX,ALL,ypt,615,6.36260162601626,7.319899395173364,77.71032546807555,423.2498391543696,0.00391817122363068
JAX,ALL,catch_rate,615,0.6439024390243903,0.6717168692736092,,320.9784577564491,0.0015226021030540439
JAX,OTHER,ypt,42,6.5,7.014322916666667,55.52439024390244,71.82482665639307,0.021704806539040153
JAX,OTHER,catch_rate,42,0.6904761904761905,0.6796875,,111.42454609768586,0.004229448396432637
JAX,RB,ypt,98,5.122448979591836,5.776709401709402,43.30443930149378,155.33379421101966,0.01217468644255527
JAX,RB,catch_rate,98,0.7653061224489796,0.7795584045584045,,269.6993396752406,0.0010484917179406582
JAX,TE,ypt,126,6.9603174603174605,7.402552926525529,72.11841269841267,477.88573528846166,0.002517228048063173
JAX,TE,catch_rate,126,0.7222222222222222,0.7238480697384807,,3197.323600121806,0.00011932022655747202
JAX,WR,ypt,349,6.478510028653295,7.8248111244935945,92.01462306096235,512.9979346061339,0.003362458988259805
JAX,WR,catch_rate,349,0.5759312320916905,0.6188547027263769,,592.4406304935924,0.0010395778909722611
KC,ALL,ypt,487,7.15400410677618,7.319899395173364,83.62026685595018,423.2498391543696,0.00391817122363068
KC,ALL,catch_rate,487,0.6981519507186859,0.6717168692736092,,320.9784577564491,0.0015226021030540439
KC,OTHER,ypt,45,9.688888888888888,7.014322916666667,116.40101010101013,71.82482665639307,0.021704806539040153
KC,OTHER,catch_rate,45,0.8,0.6796875,,111.42454609768586,0.004229448396432637
KC,RB,ypt,80,5.85,5.776709401709402,46.98987341772151,155.33379421101966,0.01217468644255527
KC,RB,catch_rate,80,0.8125,0.7795584045584045,,269.6993396752406,0.0010484917179406582
KC,TE,ypt,83,7.63855421686747,7.402552926525529,67.57508081104906,477.88573528846166,0.002517228048063173
KC,TE,catch_rate,83,0.7951807228915663,0.7238480697384807,,3197.323600121806,0.00011932022655747202
KC,WR,ypt,278,7.0,7.8248111244935945,93.00361010830322,512.9979346061339,0.003362458988259805
KC,WR,catch_rate,278,0.6223021582733813,0.6188547027263769,,592.4406304935924,0.0010395778909722611
LA,ALL,ypt,568,7.007042253521127,7.319899395173364,79.0652060511215,423.2498391543696,0.00391817122363068
LA,ALL,catch_rate,568,0.6637323943661971,0.6717168692736092,,320.9784577564491,0.0015226021030540439
LA,OTHER,ypt,45,5.511111111111111,7.014322916666667,30.573737373737377,71.82482665639307,0.021704806539040153
LA,OTHER,catch_rate,45,0.7333333333333333,0.6796875,,111.42454609768586,0.004229448396432637
LA,RB,ypt,98,5.928571428571429,5.776709401709402,61.304123711340196,155.33379421101966,0.01217468644255527
LA,RB,catch_rate,98,0.7346938775510204,0.7795584045584045,,269.6993396752406,0.0010484917179406582
LA,TE,ypt,108,6.333333333333333,7.402552926525529,46.97196261682244,477.88573528846166,0.002517228048063173
LA,TE,catch_rate,108,0.7129629629629629,0.7238480697384807,,3197.323600121806,0.00011932022655747202
LA,WR,ypt,317,7.782334384858044,7.8248111244935945,101.44930719163038,512.9979346061339,0.003362458988259805
LA,WR,catch_rate,317,0.6151419558359621,0.6188547027263769,,592.4406304935924,0.0010395778909722611
LAC,ALL,ypt,483,6.86128364389234,7.319899395173364,86.61764731149538,423.2498391543696,0.00391817122363068
LAC,ALL,catch_rate,483,0.6356107660455487,0.6717168692736092,,320.9784577564491,0.0015226021030540439
LAC,OTHER,ypt,38,6.526315789473684,7.014322916666667,71.06685633001423,71.82482665639307,0.021704806539040153
LAC,OTHER,catch_rate,38,0.631578947368421,0.6796875,,111.42454609768586,0.004229448396432637
LAC,RB,ypt,80,4.7125,5.776709401709402,38.05553797468355,155.33379421101966,0.01217468644255527
LAC,RB,catch_rate,80,0.6875,0.7795584045584045,,269.6993396752406,0.0010484917179406582
LAC,TE,ypt,82,7.975609756097561,7.402552926525529,66.64137308039747,477.88573528846166,0.002517228048063173
LAC,TE,catch_rate,82,0.7560975609756098,0.7238480697384807,,3197.323600121806,0.00011932022655747202
LAC,WR,ypt,283,7.190812720848056,7.8248111244935945,107.12658196125606,512.9979346061339,0.003362458988259805
LAC,WR,catch_rate,283,0.5865724381625441,0.6188547027263769,,592.4406304935924,0.0010395778909722611
LV,ALL,ypt,507,7.187376725838265,7.319899395173364,90.0972316423821,423.2498391543696,0.00391817122363068
LV,ALL,catch_rate,507,0.7080867850098619,0.6717168692736092,,320.9784577564491,0.0015226021030540439
LV,OTHER,ypt,61,6.639344262295082,7.014322916666667,59.56775956284153,71.82482665639307,0.021704806539040153
LV,OTHER,catch_rate,61,0.7377049180327869,0.6796875,,111.42454609768586,0.004229448396432637
LV,RB,ypt,77,4.766233766233766,5.776709401709402,69.70779220779221,155.33379421101966,0.01217468644255527
